********************************************************************************
Field Output Report, written Tue Jul 04 09:15:35 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_UNIAX_ELASTIC_elem_10_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            8.        -1.800        -1.800
             2            8.        -1.650        -1.800
             3            8.          -1.5        -1.800
             4            8.        -1.350        -1.800
             5            8.        -1.200        -1.800
             6            8.        -1.050        -1.800
             7            8.    -900.0E-03        -1.800
             8            8.     -750.E-03        -1.800
             9            8.    -600.0E-03        -1.800
            10            8.    -450.0E-03        -1.800
            11            8.    -300.0E-03        -1.800
            12            8.    -150.0E-03        -1.800
            13            8.           -0.        -1.800
            14            8.        -1.800        -1.650
            15            8.        -1.650        -1.650
            16            8.          -1.5        -1.650
            17            8.        -1.350        -1.650
            18            8.        -1.200        -1.650
            19            8.        -1.050        -1.650
            20            8.    -900.0E-03        -1.650
            21            8.     -750.E-03        -1.650
            22            8.    -600.0E-03        -1.650
            23            8.    -450.0E-03        -1.650
            24            8.    -300.0E-03        -1.650
            25            8.    -150.0E-03        -1.650
            26            8.           -0.        -1.650
            27            8.        -1.800          -1.5
            28            8.        -1.650          -1.5
            29            8.          -1.5          -1.5
            30            8.        -1.350          -1.5
            31            8.        -1.200          -1.5
            32            8.        -1.050          -1.5
            33            8.    -900.0E-03          -1.5
            34            8.     -750.E-03          -1.5
            35            8.    -600.0E-03          -1.5
            36            8.    -450.0E-03          -1.5
            37            8.    -300.0E-03          -1.5
            38            8.    -150.0E-03          -1.5
            39            8.           -0.          -1.5
            40            8.        -1.800        -1.350
            41            8.        -1.650        -1.350
            42            8.          -1.5        -1.350
            43            8.        -1.350        -1.350
            44            8.        -1.200        -1.350
            45            8.        -1.050        -1.350
            46            8.    -900.0E-03        -1.350
            47            8.     -750.E-03        -1.350
